retailer,sku,name,production_system,price,price_unit,price_per_egg,quantity,source,url
Alcampo,767888,AUCHAN Huevos de gallinas sueltas en el gallinero clase L - XL y cat. A 6 uds. Producto Alcampo,barn,2.78,ud,0.46,6,SSR,https://www.compraonline.alcampo.es/products/auchan-huevos-de-gallinas-sueltas-en-el-gallinero-clase-l-xl-y-cat-a-6-uds-producto-alcampo/767888
Alcampo,677255,ALCAMPO CULTIVAMOS LO BUENO  Huevos de gallinas camperas clase L y cat. A 6 uds.,free_range,1.99,ud,0.33,6,SSR,https://www.compraonline.alcampo.es/products/alcampo-cultivamos-lo-bueno-huevos-de-gallinas-camperas-clase-l-y-cat-a-6-uds/677255
Alcampo,677280,ALCAMPO CULTIVAMOS LO BUENO Huevos de gallinas camperas clase XL y cat. A 10 uds.,free_range,4.99,ud,0.5,10,SSR,https://www.compraonline.alcampo.es/products/alcampo-cultivamos-lo-bueno-huevos-de-gallinas-camperas-clase-xl-y-cat-a-10-uds/677280
Alcampo,562283,MONEGROS Huevos de codorniz frescos 12 uds.,caged,1.31,ud,0.11,12,SSR,https://www.compraonline.alcampo.es/products/monegros-huevos-de-codorniz-frescos-12-uds/562283
Alcampo,472077,DAGU Huevos de gallinas sueltas en el gallinero clase L y cat. A 12 uds.,barn,3.99,ud,0.33,12,SSR,https://www.compraonline.alcampo.es/products/dagu-huevos-de-gallinas-sueltas-en-el-gallinero-clase-l-y-cat-a-12-uds/472077
Alcampo,428267,GRANJAS VILLARREAL Huevos de gallinas camperas clase M - L y cat. A  6 uds.,free_range,2.15,ud,0.36,6,SSR,https://www.compraonline.alcampo.es/products/granjas-villarreal-huevos-de-gallinas-camperas-clase-m-l-y-cat-a-6-uds/428267
Alcampo,53224,PAZO DE VILANE Huevos de gallinas camperas clase L y cat. A 6 uds.,free_range,2.5,ud,0.42,6,SSR,https://www.compraonline.alcampo.es/products/pazo-de-vilane-huevos-de-gallinas-camperas-clase-l-y-cat-a-6-uds/53224
Alcampo,204522,LOS FRESQUITOS Huevos de gallinas sueltas 10 unidades,barn,2.47,ud,0.25,10,SSR,https://www.compraonline.alcampo.es/products/los-fresquitos-huevos-de-gallinas-sueltas-10-unidades/204522
Alcampo,918082,OLÉ Huevos de gallinas camperas clase M / L y cat. A 12 uds.,free_range,4.2,ud,0.35,12,SSR,https://www.compraonline.alcampo.es/products/olé-huevos-de-gallinas-camperas-clase-m-l-y-cat-a-12-uds/918082
Alcampo,511237,PITAS Huevos de gallinas sueltas en el gallinero clase L / M y categoria A 12 uds.,barn,3.49,ud,0.29,12,SSR,https://www.compraonline.alcampo.es/products/pitas-huevos-de-gallinas-sueltas-en-el-gallinero-clase-l-m-y-categoria-a-12-uds/511237
Alcampo,228739,AUCHAN Huevos de gallinas sueltas en el gallinero clase M y categoría A 12 uds. Producto Alcampo.,barn,2.59,ud,0.22,12,SSR,https://www.compraonline.alcampo.es/products/auchan-huevos-de-gallinas-sueltas-en-el-gallinero-clase-m-y-categoría-a-12-uds-producto-alcampo/228739
Alcampo,228681,AUCHAN Huevos de gallinas sueltas en el gallinero categoría A y clase L-XL 12 uds. Producto Alcampo.,barn,4.27,ud,0.36,12,SSR,https://www.compraonline.alcampo.es/products/auchan-huevos-de-gallinas-sueltas-en-el-gallinero-categoría-a-y-clase-l-xl-12-uds-producto-alcampo/228681
Alcampo,918093,OLÉ Huevos de gallinas camperas clase M / L y cat. A   6 uds,free_range,2.24,ud,0.37,6,SSR,https://www.compraonline.alcampo.es/products/olé-huevos-de-gallinas-camperas-clase-m-l-y-cat-a-6-uds/918093
